ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh,baseline
MOEX,2,400,0.06,1.0,0.0406476805246611,0.0877234432030579,,,0.0,0.06,0.011953930431063964,1.0,zero
MOEX,3,400,0.0425,1.0,0.02670146955162519,0.06700259659708263,,,0.0,0.0425,0.012943567778574652,1.0,zero
MOEX,5,400,0.0675,1.0,0.046801154899328234,0.09642727921939556,,,0.0,0.0675,0.012481069003807526,1.0,zero
VTBR,1,400,0.0575,1.0,0.038617261729224514,0.08480142520149289,,,0.0,0.0575,0.014751490134363845,1.0,zero
VTBR,2,400,0.06,1.0,0.0406476805246611,0.0877234432030579,,,0.0,0.06,0.01575995257570055,1.0,zero
VTBR,3,400,0.045,1.0,0.028651223384090457,0.07000527956161895,,,0.0,0.045,0.01607122266586947,1.0,zero
VTBR,5,400,0.065,1.0,0.04474017569726697,0.09353582162445521,,,0.0,0.065,0.0159143025392224,1.0,zero
SBER,1,400,0.4825,0.773351891728995,0.4339296820630707,0.5314032603579181,-0.03855348846895763,-0.06171161923448362,1.168253835588323,0.025,0.019449017062288347,0.9946590981686901,last
SBER,2,400,0.49,0.6736177011466651,0.4413384044602659,0.5388518483517277,0.005647577007269276,0.01856821813983486,0.9455406421566366,0.02,0.01854701657927628,0.9946590981686901,last
SBER,3,400,0.4775,0.8289388019579745,0.4289965818287492,0.5264314869982364,0.23855859298335536,-0.019991651862817292,0.938455598828633,0.0125,0.01922536246102886,0.9946590981686901,last
SBER,5,400,0.49,0.6736177011466651,0.4413384044602659,0.5388518483517277,0.04609899826612633,0.08644084055335828,0.9688283314139945,0.02,0.01787652331007078,0.9946590981686901,last
GAZP,1,400,0.455,0.9679105891020774,0.4068577044508926,0.5039984332030787,-0.05861469840047381,-0.043778708744120695,1.1571732370973118,0.0225,0.02256092406432257,0.9946590981686901,last
GAZP,2,400,0.475,0.8531459409191088,0.4265318481465433,0.5239437838834407,0.0016914406240906314,0.03299991191563592,0.9994497370446773,0.02,0.0218933005900554,0.9946590981686901,last
GAZP,3,400,0.4425,0.99066923984132,0.3946010465039066,0.49149290716505667,0.11379707022059798,-0.04721224541484498,0.9519404569536447,0.0125,0.02406095205897445,0.9946590981686901,last
GAZP,5,400,0.5175,0.2578715284960148,0.4685967396420818,0.5660703179369293,0.060269822301738475,0.06956226116447105,1.0742326040544117,0.02,0.021744182038944536,0.9946590981686901,last
LKOH,1,400,0.475,0.8531459409191088,0.4265318481465433,0.5239437838834407,-0.11552043121879155,-0.015343217366907335,1.0978890593495914,0.0225,0.019269060634528216,0.9946590981686901,last
LKOH,2,400,0.5025,0.4800653490181035,0.4537104387832728,0.5512419980137288,0.018417208757030203,0.0648915994615229,1.0644829488808374,0.02,0.018687729719813646,0.9946590981686901,last
LKOH,3,400,0.5225,0.19767637700452875,0.4735685130017636,0.5710034181712508,0.12467891529328957,0.0884097210442414,1.0196278193435715,0.0125,0.01979996409161493,0.9946590981686901,last
LKOH,5,400,0.495,0.5986873729536268,0.44628359498707637,0.5438115314189205,0.043417115595177705,0.04136255567645339,0.9468489069266472,0.02,0.019292852242846645,0.9946590981686901,last
ROSN,1,400,0.4475,0.9842866822427847,0.39950002860195316,0.4964987986610134,-0.1489956154167866,-0.015338962047522213,0.9408912527632296,0.0225,0.020749967152005045,0.9946590981686901,last
