ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh,baseline
MOEX,5,40,0.1,0.9999999902674972,0.03957888759557486,0.23052074380473897,,,0.0,0.1,0.008617555835606744,0.9999999999990905,zero
VTBR,1,40,0.025,0.9999999999990905,0.0044267174077949195,0.1288165948800778,,,0.0,0.025,0.009757897775469478,0.9999999999990905,zero
VTBR,2,40,0.075,0.9999999992533048,0.025835556771858226,0.19864530159097524,,,0.0,0.075,0.008054999773253375,0.9999999999990905,zero
VTBR,3,40,0.025,0.9999999999990905,0.0044267174077949195,0.1288165948800778,,,0.0,0.025,0.011647807326399029,0.9999999999990905,zero
VTBR,5,40,0.075,0.9999999992533048,0.025835556771858226,0.19864530159097524,,,0.0,0.075,0.008314697812214167,0.9999999999990905,zero
SBER,1,40,0.4,0.923070027918584,0.2634811061240136,0.5540438017260649,-0.20050136752655437,-0.06313616968341616,0.8486593901349311,0.0,0.008954121138210138,0.9996602258725034,last
SBER,2,40,0.45,0.7852047460783069,0.30705075280944694,0.6017117011155924,0.04695305729254094,0.06005160744443026,0.9913933890102364,0.0,0.00774337228767902,0.9996602258725034,last
SBER,3,40,0.425,0.8659063744726154,0.28509168524815875,0.5780519956394001,-0.09017795819442621,-0.016511093409036025,0.7970803619396228,0.0,0.008292747237030126,0.9996602258725034,last
SBER,5,40,0.425,0.8659063744726154,0.28509168524815875,0.5780519956394001,0.16172263781299223,0.17555712113832658,1.1031993652245544,0.0,0.007471405638969418,0.9996602258725034,last
GAZP,1,40,0.575,0.21479525392169307,0.42194800436059987,0.7149083147518411,0.20681688363181164,0.21079788005740874,1.3850590040635415,0.0,0.016409225244368452,0.9996602258725034,last
GAZP,2,40,0.45,0.7852047460783069,0.30705075280944694,0.6017117011155924,0.05986864244835815,-0.03659394828644969,0.9119176985599915,0.0,0.016157711813234506,0.9996602258725034,last
GAZP,3,40,0.425,0.8659063744726154,0.28509168524815875,0.5780519956394001,-0.12372645791989169,-0.11079318929586104,0.6467194505019594,0.0,0.01953587972057571,0.9996602258725034,last
