ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh,baseline
TATN,1,500,0.056,1.0,0.03902536261505807,0.07974529864038413,,,0.0,0.056,0.0031350834508264117,1.0,zero
TATN,2,500,0.058,1.0,0.040683464783922846,0.08205669799739573,,,0.0,0.058,0.0030867550160999257,1.0,zero
TATN,3,500,0.06,1.0,0.042348086000950205,0.08436157830624476,,,0.0,0.06,0.003272084149751444,1.0,zero
TATN,5,500,0.046,1.0,0.030844883399787512,0.06807827022627275,,,0.0,0.046,0.0033203508269225635,1.0,zero
GMKN,1,500,0.05,1.0,0.03409350665098192,0.07276865002683111,,,0.0,0.05,0.0035018386990615094,1.0,zero
GMKN,2,500,0.058,1.0,0.040683464783922846,0.08205669799739573,,,0.0,0.058,0.00329826057105682,1.0,zero
GMKN,3,500,0.066,1.0,0.04737823802541255,0.09123993085941157,,,0.0,0.066,0.003401671502861058,1.0,zero
GMKN,5,500,0.042,1.0,0.027632099334746148,0.06335205123956134,,,0.0,0.042,0.0034545360176564204,1.0,zero
PLZL,1,500,0.048,1.0,0.03246497509125218,0.07042768006068446,,,0.0,0.048,0.0033395862190479936,1.0,zero
PLZL,2,500,0.054,1.0,0.03737409848513375,0.07742706124443205,,,0.0,0.054,0.0031527015053124836,1.0,zero
PLZL,3,500,0.05,1.0,0.03409350665098192,0.07276865002683111,,,0.0,0.05,0.0034155397497632,1.0,zero
PLZL,5,500,0.036,1.0,0.022890872735181415,0.05618477326149691,,,0.0,0.036,0.003158896952681781,1.0,zero
MAGN,1,500,0.048,1.0,0.03246497509125218,0.07042768006068446,,,0.0,0.048,0.003916159233966167,1.0,zero
MAGN,2,500,0.054,1.0,0.03737409848513375,0.07742706124443205,,,0.0,0.054,0.003291179288596851,1.0,zero
MAGN,3,500,0.056,1.0,0.03902536261505807,0.07974529864038413,,,0.0,0.056,0.003503843612699458,1.0,zero
MAGN,5,500,0.03,1.0,0.018263049234083534,0.04890409218496562,,,0.0,0.03,0.003946640948457862,1.0,zero
NLMK,1,500,0.052,1.0,0.03573001990962654,0.07510163829406287,,,0.0,0.052,0.0038905809985253738,1.0,zero
NLMK,2,500,0.05,1.0,0.03409350665098192,0.07276865002683111,,,0.0,0.05,0.0034585044174863626,1.0,zero
NLMK,3,500,0.056,1.0,0.03902536261505807,0.07974529864038413,,,0.0,0.056,0.00369298608807373,1.0,zero
NLMK,5,500,0.036,1.0,0.022890872735181415,0.05618477326149691,,,0.0,0.036,0.003798573747435612,1.0,zero
MOEX,1,500,0.05,1.0,0.03409350665098192,0.07276865002683111,,,0.0,0.05,0.0029391458306877267,1.0,zero
MOEX,2,500,0.046,1.0,0.030844883399787512,0.06807827022627275,,,0.0,0.046,0.0030073453174053162,1.0,zero
MOEX,3,500,0.048,1.0,0.03246497509125218,0.07042768006068446,,,0.0,0.048,0.0030154896395492665,1.0,zero
MOEX,5,500,0.026,1.0,0.0152562373229252,0.04397190104437119,,,0.0,0.026,0.003130155365232876,1.0,zero
VTBR,1,500,0.06,1.0,0.042348086000950205,0.08436157830624476,,,0.0,0.06,0.0034880473835758024,1.0,zero
VTBR,2,500,0.066,1.0,0.04737823802541255,0.09123993085941157,,,0.0,0.066,0.00331367536455737,1.0,zero
VTBR,3,500,0.054,1.0,0.03737409848513375,0.07742706124443205,,,0.0,0.054,0.003334760696247338,1.0,zero
VTBR,5,500,0.052,1.0,0.03573001990962654,0.07510163829406287,,,0.0,0.052,0.003209278163846772,1.0,zero
SBER,1,500,0.478,0.8481663435029607,0.43455017112738104,0.5217853120879786,-0.056434768402319764,-0.08178104546603983,1.505552215393834,0.038,0.0050133405135333094,0.9911554664990548,last
SBER,2,500,0.488,0.7194853223785777,0.4444444444444444,0.5317385464002973,-0.0670579606756234,-0.06981674101181831,1.6770936363075615,0.038,0.004984656019589233,0.9911554664990548,last
SBER,3,500,0.506,0.4115454541227596,0.46229784108368,0.5496106634939493,-0.09363027654422058,-0.02178007912292264,1.5568299101820684,0.038,0.005146964140300189,0.9744984477628461,last
SBER,5,500,0.478,0.8481663435029607,0.43455017112738104,0.5217853120879786,-0.005332433650197289,-0.001442294457508162,1.555949504402921,0.018,0.004916329840998824,0.9911554664990548,last
GAZP,1,500,0.454,0.9822716809936584,0.4108749466266584,0.49782651827818475,-0.05915768720670803,-0.11510025573443726,1.3764958576775674,0.038,0.007013751536017256,0.9911554664990548,last
GAZP,2,500,0.528,0.11360664595976239,0.4841949689615891,0.5713780524006803,0.0030952482929522216,0.005890484300226595,1.7662866977114917,0.038,0.006494083747745563,0.9744984477628461,last
GAZP,3,500,0.5,0.5178323227766748,0.45634046916507415,0.5436595308349258,-0.07519071033790617,-0.01454831125370222,1.5253481499440786,0.038,0.006840185121669679,0.9911554664990548,last
GAZP,5,500,0.456,0.9779682652105365,0.41284403669724773,0.4998269297334718,0.004102523734723185,-0.06166449792261448,1.561921360098073,0.018,0.006928594697340823,0.9911554664990548,last
